PacketCounter,SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Mag_X,Mag_Y,Mag_Z,Status
1,231272557,0.000000000000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
2,231289224,0.999999994862626,0.000069,0.000037,-0.000064,0.084219,0.032309,0.138265,-0.189453,-0.400146,-0.906982,0
3,231305891,0.999999993914250,0.000072,0.000048,-0.000068,0.084189,0.032446,0.138450,-0.189453,-0.403076,-0.909424,0
4,231322558,0.999999994154804,0.000062,0.000046,-0.000076,0.083943,0.032477,0.138301,-0.187500,-0.399658,-0.909912,0
5,231339225,0.999999992757818,0.000085,0.000046,-0.000072,0.084063,0.032248,0.138137,-0.191895,-0.403076,-0.910400,0
6,231355892,0.999999995015476,0.000053,0.000032,-0.000078,0.083893,0.032405,0.138032,-0.188965,-0.403076,-0.908936,0
7,231372559,0.999999994962952,0.000053,0.000041,-0.000074,0.084245,0.032372,0.138050,-0.187012,-0.402588,-0.906006,0
8,231389226,0.999999995858818,0.000058,0.000034,-0.000061,0.084275,0.031987,0.138069,-0.186523,-0.400146,-0.908447,0
9,231405893,0.999999995979368,0.000053,0.000041,-0.000059,0.084353,0.031800,0.138086,-0.187988,-0.402588,-0.908447,0
10,231422560,0.999999995458248,0.000061,0.000051,-0.000053,0.084017,0.031809,0.138364,-0.187500,-0.400146,-0.910400,0
11,231439227,0.999999995096069,0.000043,0.000061,-0.000065,0.083877,0.032308,0.138506,-0.186035,-0.402100,-0.907471,0
12,231455894,0.999999996958907,0.000046,0.000041,-0.000048,0.083918,0.031995,0.138041,-0.188965,-0.401123,-0.904541,0
13,231472561,0.999999996790067,0.000064,0.000031,-0.000036,0.083873,0.032260,0.138227,-0.188965,-0.400635,-0.908447,0
14,231489228,0.999999997415573,0.000055,0.000006,-0.000046,0.083907,0.032284,0.138411,-0.187500,-0.401611,-0.906494,0
15,231505895,0.999999998922269,-0.000001,0.000012,-0.000045,0.083811,0.032429,0.138393,-0.188965,-0.401123,-0.907471,0
16,231522562,0.999999998087933,0.000017,0.000006,-0.000059,0.083759,0.032421,0.138579,-0.188965,-0.401855,-0.911377,0
17,231539229,0.999999996445593,0.000048,0.000017,-0.000067,0.083739,0.032191,0.138197,-0.190918,-0.400146,-0.906982,0
18,231555896,0.999999996504092,0.000048,0.000016,-0.000067,0.084188,0.031805,0.138458,-0.189941,-0.400635,-0.911377,0
19,231572563,0.999999996543655,0.000026,0.000017,-0.000077,0.084318,0.031707,0.138122,-0.187988,-0.401123,-0.908936,0
20,231589230,0.999999993631894,0.000064,0.000047,-0.000080,0.083850,0.031818,0.138489,-0.190918,-0.402588,-0.909424,0
